SKU,Description,Cost
SM27B80885,MECHANICAL VR_conduction_plate_high_12.4, $10.12 
SM37B81296,MEMORY S M321R4GA3PB2-CCP 32GB 2Rx8 64R, $282.95 
SB47B28789,"BRACKET CABLE COVER, FRONT", $2.18 
0000039M5375,"LINECORD 1.5M,10A,C13 to C14 JCord LW", $1.10 
SC17B36581,CABLE Cobol-Busbar cable, $57.69 
SC17B25085,"CABLE Power+MNG A, 300", $1.82 
SM17B78699,"MECH_ASM DIMM COVER ASM,ESP SD665V3", $3.47 
SM17B83029,MECH_ASM 2x OSFP I/O Card(800G per port), $174.42 
SM17A92959,"MECH_ASM Drip Sensor, OC", $31.63 
SM27A34863,"MECHANICAL DRIP TRAY, OC", $2.21 
SSG7B08727,SWITCH NV SN2201 1GbE Mgd CMLS PSE," $1,900.00 "
SSA7B85397,SP AMD Turin Classic 9135 16C 200W 3.65G, $971.00 
4XF7A81998,NVIDIA QM97xx Rack Mount Kit, $179.16 
0000039M5389,"LINECORD 2.5M,16A,C19 to C20 JCord LW", $2.72 
SC17B25086,"CABLE Power+MNG B, 400", $2.32 
SC17B25080,"CABLE MCIO cable B, 180", $15.16 
SM17B38989,"MECH_ASM ASSY,CROSS BAR Rear", $8.37 
SM27A17636,MECHANICAL 1 UNIT BLACK, $7.25 
SM17A64959,MECH_ASM BOTTOM EMC FILLER ASSY, $8.80 
SM27A17637,MECHANICAL 3 UNIT BLACK, $11.08 
SM17A63414,"ECAT_TLA DW612 SMM2, ESP", $160.71 
SM17A64960,MECH_ASM AIR PSU CAGE ASSY, $13.70 
SM27A73778,MECHANICAL HDRC Onyx Baying Kit, $51.41 
SM27A73907,MECHANICAL COVER PSU CAGE 6U SS & SVT, $3.32 
SM27B34517,MECHANICAL FULL WIDE FLLR, $47.48 
SC17A73853,CABLE SENSOR TO MP(P1), $4.51 
0000000Y3013,MECHANICAL 1U RACK BRKT, $144.29 
SC17B25082,"CABLE MCIO cable D, 800", $26.05 
SM17A64958,MECH_ASM TOP EMC FILLER ASSY, $9.66 
SM27A99463,MECHANICAL M6 Caged Nut, $0.53 
40K5793,ECO e1350 3 Meter Green Ethernet Cable, $11.14 
0000025R7920,MECHANICAL M6 Caged Nut,  
0000000N8709,MECHANICAL M6 Caged Nut,  
